"UniqueID","GROUPID","block","REC","DET","ADL","MDL","DENTR","LAM","AVL","MVL","VENTR"
"CPS2-ASU-T41-Warmup-252.1165","1041","Warmup","8.66505887359909","16.8631303208906","2.09349593495935","4","6.18918264720151","34.3426419830562","2.34871244635193","5","6.78977247839674"
"CPS2-ASU-T41-Warmup-39.5928","1041","Warmup","3.69414101290963","3.07219662058372","2","2","3.68887945411393","9.198606271777","2","2","4.88280192258637"
"CPS2-ASU-T42-ExpBlock1-12.8683","1042","ExpBlock1","1.5065966803802","1.12994350282486","2","2","1.79175946922805","4.06626506024096","2","2","3.29583686600433"
"CPS2-ASU-T42-ExpBlock1-361.8016","1042","ExpBlock1","0.184423322457086","0","NaN","1","0","0","NaN","1","0"
"CPS2-ASU-T42-ExpBlock2-235.9129","1042","ExpBlock2","0.615690168818272","0.921658986175115","2","2","0.693147180559945","0","NaN","1","0"
"CPS2-ASU-T42-ExpBlock2-338.7652","1042","ExpBlock2","0.238331678252234","0","NaN","1","0","1.38248847926267","2","2","1.09861228866811"
"CPS2-ASU-T42-ExpBlock2-599.5497","1042","ExpBlock2","0.354660235494396","1.6","2","2","0.693147180559945","4.26356589147287","2","2","2.39789527279837"
"CPS2-ASU-T42-ExpBlock2-82.0043","1042","ExpBlock2","0.885231947794013","0.641025641025641","2","2","0.693147180559945","2.02247191011236","2","2","2.19722457733622"
"CPS2-ASU-T42-Warmup-101.045","1042","Warmup","0.102142147822386","0","NaN","1","0","1.77514792899408","2","2","1.09861228866811"
"CPS2-ASU-T43-ExpBlock1-430.8348","1043","ExpBlock1","1.11505178039438","3.05343511450382","2","2","2.484906649788","7.79467680608365","2","2","3.71357206670431"
"CPS2-ASU-T43-ExpBlock1-609.654","1043","ExpBlock1","6.3668605475954","13.1461675579323","2.09219858156028","3","5.63337149458994","27.4926377787127","2.14262295081967","3","6.40137360175889"
"CPS2-ASU-T43-ExpBlock1-804.2085","1043","ExpBlock1","1.90665342601787","5.50595238095238","2.17647058823529","4","3.50310753300735","19.7515527950311","2.94444444444444","5","4.57906324492901"
"CPS2-ASU-T43-ExpBlock1-89.535","1043","ExpBlock1","0.181586040573131","0","NaN","1","0","1.52284263959391","2","2","1.09861228866811"
"CPS2-ASU-T43-ExpBlock2-239.74900000000002","1043","ExpBlock2","0.272379060859696","0","NaN","1","0","0.873362445414847","2","2","0.693147180559945"
"CPS2-ASU-T43-ExpBlock2-325.3963","1043","ExpBlock2","0.556107249255213","2.04081632653061","2","2","1.38629436111989","3.95136778115502","2","2","2.56494935746154"
"CPS2-ASU-T43-ExpBlock2-511.8487","1043","ExpBlock2","1.69953184848915","3.67278797996661","2","2","3.09104245335832","17.7595628415301","2","2","4.86753445045558"
"CPS2-ASU-T43-ExpBlock2-611.4517","1043","ExpBlock2","0.655412115193645","0","NaN","1","0","0","NaN","1","0"
"CPS2-ASU-T43-ExpBlock2-75.8904","1043","ExpBlock2","3.95517094623351","11.1908177905308","2.02597402597403","3","5.03426119539924","24.2960052390308","2.03846153846154","3","5.89325120743142"
"CPS2-ASU-T43-ExpBlock2-782.1388","1043","ExpBlock2","0.859696410838417","1.98019801980198","2","2","1.79175946922805","2.75229357798165","2","2","2.484906649788"
"CPS2-ASU-T43-Warmup-178.6136","1043","Warmup","4.4743935309973","8.49714648065948","2.06153846153846","3","4.86152949176212","21.9883040935673","2","2","5.92958914338996"
"CPS2-ASU-T43-Warmup-32.9621","1043","Warmup","0.482337920272379","4.70588235294118","2","2","2.07944154167984","4.29042904290429","2","2","2.56494935746154"
"CPS2-ASU-T43-Warmup-435.5655","1043","Warmup","3.75372393247269","9.0702947845805","2.03389830508475","3","4.76721848737665","16.2774725274725","2.21495327102804","3","5.3500133375087"
"CPS2-ASU-T43-Warmup-838.5263","1043","Warmup","1.69385728472124","2.68006700167504","2","2","2.77258872223978","10.5479452054795","2","2","4.34380542185368"
"CPS2-ASU-T44-ExpBlock1-31.8175","1044","ExpBlock1","0.655412115193645","3.46320346320346","2","2","2.07944154167984","6.86813186813187","2","2","3.2188758248682"
"CPS2-ASU-T44-ExpBlock1-453.6985","1044","ExpBlock1","0.638388423889913","0.888888888888889","2","2","0.693147180559945","3.91061452513966","2","2","2.63905732961526"
"CPS2-ASU-T44-ExpBlock2-249.2044","1044","ExpBlock2","0.320612852886934","1.76991150442478","2","2","0.693147180559945","1.21951219512195","2","2","1.09861228866811"
"CPS2-ASU-T44-ExpBlock2-370.8981","1044","ExpBlock2","1.08384167967088","0","NaN","1","0","6.79611650485437","2","2","3.55534806148941"
"CPS2-ASU-T44-ExpBlock2-470.7766","1044","ExpBlock2","1.14342459923393","1.48883374689826","2","2","1.79175946922805","5.22388059701493","2","2","3.3322045101752"
"CPS2-ASU-T44-ExpBlock2-616.4776","1044","ExpBlock2","0.604341041282451","0.938967136150235","2","2","0.693147180559945","6.64739884393064","2","2","3.13549421592915"
"CPS2-ASU-T44-ExpBlock2-777.8439999999999","1044","ExpBlock2","0.573130940558945","0.99009900990099","2","2","0.693147180559945","2.6865671641791","2","2","2.19722457733622"
"CPS2-ASU-T44-Warmup-39.0927","1044","Warmup","0.720669598524613","0.78740157480315","2","2","0.693147180559945","4.90956072351421","2","2","2.94443897916644"
"CPS2-ASU-T44-Warmup-765.3656","1044","Warmup","1.64846077457795","5.50774526678141","2","2","3.46573590279972","24.3697478991597","2.18867924528302","3","5.05419363332448"
"CPS2-ASU-T45-ExpBlock1-146.4001","1045","ExpBlock1","0.102142147822386","0","NaN","1","0","0","NaN","1","0"
"CPS2-ASU-T45-ExpBlock1-558.0681","1045","ExpBlock1","0.190097886224996","0","NaN","1","0","2","2","2","1.38629436111989"
"CPS2-ASU-T45-ExpBlock1-712.3621","1045","ExpBlock1","0.519222584763796","0","NaN","1","0","3.79746835443038","2","2","2.484906649788"
"CPS2-ASU-T45-ExpBlock1-9.862","1045","ExpBlock1","0.479500638388424","0","NaN","1","0","4.3046357615894","2","2","2.56494935746154"
"CPS2-ASU-T45-ExpBlock2-11.4062","1045","ExpBlock2","0.524897148531707","0","NaN","1","0","2.51572327044025","2","2","2.07944154167984"
"CPS2-ASU-T45-ExpBlock2-735.8197","1045","ExpBlock2","0.266704497091786","0","NaN","1","0","0","NaN","1","0"
"CPS2-ASU-T45-Warmup-128.8803","1045","Warmup","1.22854305575259","0.92378752886836","2","2","1.38629436111989","3.35689045936396","2","2","2.94443897916644"
"CPS2-ASU-T45-Warmup-737.8933","1045","Warmup","2.65002127961413","4.71092077087794","2","2","3.78418963391827","5.6232427366448","2","2","4.0943445622221"
"CPS2-ASU-T46-ExpBlock1-109.5956","1046","ExpBlock1","0.25251808767201","2.24719101123596","2","2","0.693147180559945","0.900900900900901","2","2","0.693147180559945"
"CPS2-ASU-T46-ExpBlock2-45.7482","1046","ExpBlock2","0.777415236203717","1.45985401459854","2","2","1.38629436111989","3.93120393120393","2","2","2.77258872223978"
"CPS2-ASU-T46-Warmup-366.8874","1046","Warmup","1.31366151227124","2.15982721382289","2","2","2.30258509299405","4.69798657718121","2","2","3.3322045101752"
"CPS2-ASU-T46-Warmup-69.0921","1046","Warmup","1.56050503617534","5.45454545454545","2","2","3.40119738166215","9.07759882869692","2","2","4.12713438504509"
"CPS2-ASU-T47-ExpBlock1-127.6323","1047","ExpBlock1","3.90693715420627","9.87654320987654","2.15873015873016","4","4.82071553781816","33.7417218543046","2.6957671957672","5","5.87373863125235"
"CPS2-ASU-T47-ExpBlock1-491.3096","1047","ExpBlock1","1.35622074053057","3.76569037656904","2","2","2.89037175789616","4.4189852700491","2","2","3.29583686600433"
"CPS2-ASU-T47-ExpBlock2-109.2262","1047","ExpBlock2","0.476663356504469","1.19047619047619","2","2","0.693147180559945","0","NaN","1","0"
"CPS2-ASU-T47-ExpBlock2-298.0918","1047","ExpBlock2","2.58476379628316","2.85400658616904","2","2","3.25809653802149","14.5593869731801","2","2","5.02388052084628"
"CPS2-ASU-T47-ExpBlock2-630.7105","1047","ExpBlock2","0.712157752872748","0.796812749003984","2","2","0.693147180559945","5.46875","2","2","3.04452243772342"
