UniqueID,school,team,block,level,relative_start_time,relative_end_time,60_sec_start_time,60_sec_end_time,level_duration,gold_trophy,silver_trophy,won,GROUPID
CPS2-ASU-T20-ExpBlock2-694.6994,ASU,CPS2-ASU-T20,ExpBlock2,Smiley Mouth,694.6994,900.043,840,899,205.3436,0,0,0,1020
CPS2-ASU-T20-Warmup-9.8215,ASU,CPS2-ASU-T20,Warmup,Can Opener,9.8215,900.023,840,899,890.2015,0,0,0,1020
CPS2-ASU-T24-ExpBlock1-147.6062,ASU,CPS2-ASU-T24,ExpBlock1,Dolphin Show,147.6062,386.7688,317,376,239.1626,0,0,0,1024
CPS2-ASU-T24-ExpBlock1-386.7688,ASU,CPS2-ASU-T24,ExpBlock1,Caterpillar,386.7688,572.3532,503,562,185.5844,0,0,0,1024
CPS2-ASU-T24-ExpBlock1-572.3532,ASU,CPS2-ASU-T24,ExpBlock1,Think Ahead,572.3532,899.999,840,899,327.6458,0,0,0,1024
CPS2-ASU-T24-ExpBlock2-186.6325,ASU,CPS2-ASU-T24,ExpBlock2,Scale,186.6325,265.0195,196,255,78.387,1,0,1,1024
CPS2-ASU-T24-ExpBlock2-319.7887,ASU,CPS2-ASU-T24,ExpBlock2,Fe2,319.7887,423.2498,354,413,103.4611,1,0,1,1024
CPS2-ASU-T24-ExpBlock2-475.7789,ASU,CPS2-ASU-T24,ExpBlock2,Smiley Mouth,475.7789,853.7448,784,843,377.9659,0,1,1,1024
CPS2-ASU-T24-Warmup-151.6253,ASU,CPS2-ASU-T24,Warmup,Spider Web,151.6253,253.1816,184,243,101.5563,0,1,1,1024
CPS2-ASU-T24-Warmup-30.3315,ASU,CPS2-ASU-T24,Warmup,Can Opener,30.3315,151.6253,82,141,121.2938,0,0,0,1024
CPS2-ASU-T24-Warmup-329.8831,ASU,CPS2-ASU-T24,Warmup,Double Hoppy,329.8831,579.6198,510,569,249.7367,0,0,0,1024
CPS2-ASU-T24-Warmup-579.6198,ASU,CPS2-ASU-T24,Warmup,Annoying Lever,579.6198,893.9223,824,883,314.3025,0,1,1,1024
CPS2-ASU-T25-ExpBlock1-114.9051,ASU,CPS2-ASU-T25,ExpBlock1,Fe2,114.9051,342.0593,273,332,227.1542,0,0,0,1025
CPS2-ASU-T25-ExpBlock1-342.0593,ASU,CPS2-ASU-T25,ExpBlock1,One at a time,342.0593,471.572,402,461,129.5127,0,1,1,1025
CPS2-ASU-T25-ExpBlock1-518.1632,ASU,CPS2-ASU-T25,ExpBlock1,Green Apple,518.1632,620.3553,551,610,102.1921,0,1,1,1025
CPS2-ASU-T25-ExpBlock1-669.2999,ASU,CPS2-ASU-T25,ExpBlock1,Timing is Everything,669.2999,900.0,840,899,230.7001,0,0,0,1025
CPS2-ASU-T25-ExpBlock2-22.6962,ASU,CPS2-ASU-T25,ExpBlock2,Top spin,22.6962,328.0405,259,318,305.3443,0,0,0,1025
CPS2-ASU-T25-ExpBlock2-355.6559,ASU,CPS2-ASU-T25,ExpBlock2,Cloudy Day,355.6559,880.9842,811,870,525.3283,0,0,0,1025
CPS2-ASU-T25-Warmup-109.2545,ASU,CPS2-ASU-T25,Warmup,Yippie!,109.2545,263.0772,194,253,153.8227,0,1,1,1025
CPS2-ASU-T25-Warmup-274.7057,ASU,CPS2-ASU-T25,Warmup,Can Opener,274.7057,671.1675,602,661,396.4618,0,0,0,1025
CPS2-ASU-T25-Warmup-671.1675,ASU,CPS2-ASU-T25,Warmup,Annoying Lever,671.1675,900.02,840,899,228.8525,0,0,0,1025
CPS2-ASU-T32-ExpBlock1-162.6712,ASU,CPS2-ASU-T32,ExpBlock1,Top spin,162.6712,244.6747,175,234,82.0035,0,1,1,1032
CPS2-ASU-T32-ExpBlock1-248.8153,ASU,CPS2-ASU-T32,ExpBlock1,Trunk Slide,248.8153,350.8249,281,340,102.0096,0,1,1,1032
CPS2-ASU-T32-ExpBlock1-355.5002,ASU,CPS2-ASU-T32,ExpBlock1,Think Ahead,355.5002,899.995,840,899,544.4948,0,0,0,1032
CPS2-ASU-T32-ExpBlock2-10.8057,ASU,CPS2-ASU-T32,ExpBlock2,Scale,10.8057,218.544,149,208,207.7383,0,1,1,1032
CPS2-ASU-T32-ExpBlock2-228.2585,ASU,CPS2-ASU-T32,ExpBlock2,Timing is Everything,228.2585,824.078,755,814,595.8195,0,1,1,1032
CPS2-ASU-T32-ExpBlock2-831.9886,ASU,CPS2-ASU-T32,ExpBlock2,Fe2,831.9886,900.006,840,899,68.0174,0,0,0,1032
CPS2-ASU-T32-Warmup-168.2753,ASU,CPS2-ASU-T32,Warmup,Can Opener,168.2753,404.4669,335,394,236.1916,0,1,1,1032
CPS2-ASU-T32-Warmup-537.305,ASU,CPS2-ASU-T32,Warmup,Yippie!,537.305,676.995,607,666,139.69,0,1,1,1032
CPS2-ASU-T32-Warmup-684.2016,ASU,CPS2-ASU-T32,Warmup,Double Hoppy,684.2016,900.006,840,899,215.8044,0,0,0,1032
CPS2-ASU-T34-ExpBlock1-111.6855,ASU,CPS2-ASU-T34,ExpBlock1,Timing is Everything,111.6855,324.2248,255,314,212.5393,0,0,0,1034
CPS2-ASU-T34-ExpBlock1-324.2248,ASU,CPS2-ASU-T34,ExpBlock1,Fe2,324.2248,620.4233,551,610,296.1985,0,1,1,1034
CPS2-ASU-T34-ExpBlock1-699.706,ASU,CPS2-ASU-T34,ExpBlock1,Timing is Everything,699.706,814.9843,745,804,115.2783,0,1,1,1034
CPS2-ASU-T34-ExpBlock2-21.5376,ASU,CPS2-ASU-T34,ExpBlock2,Top spin,21.5376,497.4698,428,487,475.9322,0,1,1,1034
CPS2-ASU-T34-ExpBlock2-523.2273,ASU,CPS2-ASU-T34,ExpBlock2,Trunk Slide,523.2273,838.6258,769,828,315.3985,0,0,0,1034
CPS2-ASU-T34-ExpBlock2-838.6258,ASU,CPS2-ASU-T34,ExpBlock2,Cloudy Day,838.6258,900.003,840,899,61.3772,0,0,0,1034
CPS2-ASU-T34-Warmup-384.2733,ASU,CPS2-ASU-T34,Warmup,Annoying Lever,384.2733,663.4273,594,653,279.154,0,0,0,1034
CPS2-ASU-T34-Warmup-69.1236,ASU,CPS2-ASU-T34,Warmup,Can Opener,69.1236,335.8597,266,325,266.7361,0,0,0,1034
CPS2-ASU-T34-Warmup-694.9325,ASU,CPS2-ASU-T34,Warmup,Yippie!,694.9325,900.011,840,899,205.0785,0,0,0,1034
CPS2-ASU-T35-ExpBlock1-19.6949,ASU,CPS2-ASU-T35,ExpBlock1,Trunk Slide,19.6949,463.9962,394,453,444.3013,0,0,0,1035
CPS2-ASU-T35-ExpBlock1-463.9962,ASU,CPS2-ASU-T35,ExpBlock1,Cloudy Day,463.9962,826.1764,757,816,362.1802,1,0,1,1035
CPS2-ASU-T35-ExpBlock1-838.4098,ASU,CPS2-ASU-T35,ExpBlock1,Uphill Battle,838.4098,899.996,840,899,61.5862,0,0,0,1035
CPS2-ASU-T35-ExpBlock2-314.6716,ASU,CPS2-ASU-T35,ExpBlock2,Timing is Everything,314.6716,421.4485,352,411,106.7769,0,1,1,1035
CPS2-ASU-T35-ExpBlock2-468.5776,ASU,CPS2-ASU-T35,ExpBlock2,Green Apple,468.5776,900.018,840,899,431.4404,0,0,0,1035
CPS2-ASU-T35-ExpBlock2-52.696000000000005,ASU,CPS2-ASU-T35,ExpBlock2,Fe2,52.696,307.0765,238,297,254.3805,0,0,0,1035
CPS2-ASU-T35-Warmup-200.3346,ASU,CPS2-ASU-T35,Warmup,Yippie!,200.3346,597.743,528,587,397.4084,1,0,1,1035
CPS2-ASU-T35-Warmup-43.4564,ASU,CPS2-ASU-T35,Warmup,Can Opener,43.4564,200.3346,131,190,156.8782,0,0,0,1035
CPS2-ASU-T35-Warmup-612.5988,ASU,CPS2-ASU-T35,Warmup,Annoying Lever,612.5988,900.012,840,899,287.4132,0,0,0,1035
CPS2-ASU-T36-ExpBlock1-17.49,ASU,CPS2-ASU-T36,ExpBlock1,Think Ahead,17.49,635.9645,566,625,618.4745,0,0,0,1036
CPS2-ASU-T36-ExpBlock1-635.9645,ASU,CPS2-ASU-T36,ExpBlock1,Cloudy Day,635.9645,900.017,840,899,264.0525,0,0,0,1036
CPS2-ASU-T36-ExpBlock2-122.0259,ASU,CPS2-ASU-T36,ExpBlock2,Green Apple,122.0259,245.0158,176,235,122.9899,0,1,1,1036
CPS2-ASU-T36-ExpBlock2-296.975,ASU,CPS2-ASU-T36,ExpBlock2,One at a time,296.975,444.8952,375,434,147.9202,0,1,1,1036
CPS2-ASU-T36-ExpBlock2-475.3954,ASU,CPS2-ASU-T36,ExpBlock2,Scale,475.3954,547.1788,478,537,71.7834,0,0,0,1036
CPS2-ASU-T36-ExpBlock2-547.1788,ASU,CPS2-ASU-T36,ExpBlock2,Timing is Everything,547.1788,640.2626,571,630,93.0838,1,0,1,1036
CPS2-ASU-T36-ExpBlock2-652.6632,ASU,CPS2-ASU-T36,ExpBlock2,Fe2,652.6632,900.027,840,899,247.3638,0,0,0,1036
