"GROUPID","block","REC","DET","ADL","MDL","DENTR","LAM","AVL","MVL","VENTR"
"2019","ExpBlock2","0.20536384096024","0.353120243531202","2","2","4.06044301054642","1.5685210312076","2","2","5.66642668811243"
"2019","Warmup","0.613190797699425","1.46198234202639","2.00279329608939","3","6.57337933387132","10.0699410301119","2","2","8.54480835844941"
"2020","ExpBlock1","0.25743935983996","0.563380281690141","2","2","4.75359019110637","1.04028331119965","2","2","5.45958551414416"
"2020","ExpBlock2","0.125218804701175","0.239640539191213","2","2","3.17805383034795","0.882230545151893","2","2","4.66343909411207"
"2020","Warmup","0.131970492623156","0.170535291331123","2","2","2.89037175789616","1.30625248904819","2","2","5.09986642782417"
"2027","ExpBlock1","0.526344086021505","1.33501199610424","2.00714285714286","3","6.32717304091028","8.48470417488718","2.06200055111601","3","8.1906671169954"
"2027","ExpBlock2","0.329444861215304","0.736270826217314","2","2","5.26785815906333","2.63501358072595","2","2","6.6160651851327"
"2027","Warmup","0.162003000750188","0.308713436752335","2","2","3.68887945411393","2.27318312495821","2","2","5.8289456176102"
"2029","ExpBlock1","0.2051887971993","0.389982328925721","2","2","4.15888308335968","2.08027809461735","2","2","5.94803498918058"
"2029","ExpBlock2","0.203913478369592","0.380158194861733","2","2","4.12713438504509","1.60576765525152","2","2","5.68357976733864"
"2029","Warmup","0.673905976494124","1.12989109259912","2.00328947368421","3","6.40982090264538","6.03499168142543","2.06646248085758","3","8.08458381531096"
"2030","ExpBlock1","0.214591147786947","0.326283283808192","2","2","4.02535169073515","1.99342482909774","2","2","5.94542060860661"
"2030","ExpBlock2","0.181082770692673","0.345232341365739","2","2","3.91202300542814","1.36504277134017","2","2","5.41610040220444"
"2030","Warmup","0.2347711927982","0.383447835117431","2","2","4.27666611901605","1.42465225971026","2","2","5.69035945432408"
"2031","ExpBlock1","0.142148037009252","0.193508663910634","2","2","3.09104245335832","1.1145186625776","2","2","5.00394630594546"
"2031","ExpBlock2","0.091410352588147","0.273560388455752","2","2","2.99573227355399","0.698099022661368","2","2","4.17438726989564"
"2031","Warmup","0.138459614903726","0.270904822105833","2","2","3.40119738166215","3.29661924430167","2","2","6.06610809010374"
"2033","ExpBlock1","0.0742185546386597","0.134770889487871","2","2","2.07944154167984","0.504032258064516","2","2","3.68887945411393"
"2033","ExpBlock2","0.164903725931483","0.333611342785655","2","2","3.78418963391827","0.395022713806044","2","2","4.0943445622221"
"2033","Warmup","0.378432108027007","0.971354941024879","2.01369863013699","3","5.67530496921399","5.66987944339418","2.08727895037079","3","7.46093477466923"
"2034","ExpBlock2","0.171217804451113","0.350518475244633","2","2","3.87120101090789","2.24926723588633","2.05232558139535","3","5.83545514498162"
"2034","Warmup","0.310740185046262","0.44260250271597","2","2","4.70048036579243","2.08542807135143","2","2","6.3279367837292"
"2035","ExpBlock1","0.155076269067267","0.32250262033379","2","2","3.68887945411393","2.2009303617302","2","2","5.75890177387728"
"2035","ExpBlock2","0.140435108777194","0.231481481481481","2","2","3.25809653802149","1.56438935912938","2","2","5.33271879326535"
