UniqueID,school,team,controller,observer1,observer2,block,level,relative_start_time,relative_end_time,60_sec_start_time,60_sec_end_time,level_duration,gold_trophy,silver_trophy,won,face_area,motion,positive_valence,negative_valence,expressiveness,Analytic,Clout,Authentic,Tone,gaze_raw_binary_validity,gaze_raw_dispersion,gaze_fixation_count,gaze_fixation_mean_duration,gaze_saccade_mean_amplitude,gaze_mean_partners_distance,PP_motion,Loudness_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,F1frequency_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3amplitudeLogRelF0_sma3nz,verbosity,interturn_duration,overlap_fraction,duration_on_level,visit_num,pred_won
CPS2-ASU-T102-ExpBlock1-683.1666,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PB,CPS2-ASU-T102-PD,CPS2-ASU-T102-PC,ExpBlock1,Fe2,683.1666,900.031,840,899,216.8644,0,0,0,-0.164709753,0.169802921,0.076012996,-0.191652379,0.313190963,20.41933333,17.20555556,9.779555556,11.6895,0.720763998,80.56177859,3.116777178,304.2356755,97.86962655,287.5054506,0.005925172,1.015387856,1.039849292,0.928277746,1.011428373,0.737048173,-0.348239,1.019363882,-0.143364656,1.02527322,-0.060362117,1.024594854,144,1.850625,0.32,157,1,0.445645537
CPS2-ASU-T102-ExpBlock2-191.4144,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PC,CPS2-ASU-T102-PD,CPS2-ASU-T102-PB,ExpBlock2,Fe2,191.4144,279.9308,210,269,88.5164,1,0,1,0.060308093,0.072108306,-0.181117273,0.17467983,0.117300496,10.51422222,8.627777778,9.837722222,6.357388889,0.280127778,120.6746104,2.835369345,328.8290894,140.229091,420.3557177,0.002827455,0.59318993,0.688680874,0.47723745,0.693215614,-0.042607224,-0.487273075,0.710784205,-0.394575088,0.718898038,-0.248064098,0.732253082,79,2.162,0.083333333,19,0,0.389516989
CPS2-ASU-T102-ExpBlock2-332.168,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PC,CPS2-ASU-T102-PD,CPS2-ASU-T102-PB,ExpBlock2,Smiley Mouth,332.168,407.3617,338,397,75.1937,0,1,1,0.175390495,-0.26656997,0.106373312,-0.070707474,0.099333896,10.32622222,7.505555556,3.691833333,4.002666667,0.645488889,131.6985275,2.985798094,314.6502343,150.5384167,426.3637751,0.004394811,1.318535552,1.459967888,1.559576403,1.121237019,1.15300426,-0.343400802,1.387382672,-0.049495979,1.366900711,0.025909558,1.372261583,56,3.07,0.176470588,6,0,0.466796973
CPS2-ASU-T102-ExpBlock2-411.0479,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PC,CPS2-ASU-T102-PD,CPS2-ASU-T102-PB,ExpBlock2,Smiley Mouth,411.0479,900.008,840,899,488.9601,0,0,0,0.093127393,-0.130226036,0.082966303,0.248384154,0.038325353,16.96361111,11.67777778,11.71155556,6.969388889,0.515855108,144.1743283,2.902811935,306.7258981,171.0310188,431.1102274,0.003421244,0.716464107,0.740529654,0.479568691,0.786334216,0.528296471,-0.495662891,0.887101318,-0.194693715,0.889424822,0.10209081,0.88312873,109,3.743333333,0.411764706,429,1,0.397366017
CPS2-ASU-T102-ExpBlock2-72.222,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PC,CPS2-ASU-T102-PD,CPS2-ASU-T102-PB,ExpBlock2,Timing is Everything,72.222,184.2138,115,174,111.9918,1,0,1,-0.162939218,-0.02369679,0.157042651,-0.135178142,0.055903963,4.690333333,3.611111111,1.700055556,1.723555556,0.341805556,137.0109245,2.998806346,300.4800326,166.4129949,420.3557177,0.008217378,1.445082634,1.440571612,1.136513599,1.579139403,1.416551727,-0.352253993,1.487193388,0.006950147,1.471693288,0.022902547,1.491618541,24,8.0975,0.375,43,0,0.390879774
CPS2-ASU-T102-Warmup-284.0201,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PD,CPS2-ASU-T102-PB,CPS2-ASU-T102-PC,Warmup,Yippie!,284.0201,361.2727,292,351,77.2526,0,1,1,-0.015681826,-0.232422488,0.075796339,0.075951315,0.233580192,26.40716667,21.94788889,16.99361111,14.2725,0.752211111,49.50825637,2.760500478,367.0550847,70.91385715,415.8993701,0.005569488,0.739199142,0.791440864,0.38516419,0.677521603,0.704900867,0.003771111,0.791729215,0.048544036,0.800642957,0.126916112,0.803499679,183,1.238235294,0.419354839,8,0,0.606696725
CPS2-ASU-T102-Warmup-366.5469,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PD,CPS2-ASU-T102-PB,CPS2-ASU-T102-PC,Warmup,Spider Web,366.5469,506.751,437,496,140.2041,0,1,1,0.373254551,0.003687452,-0.182852207,-0.007111389,-0.166887861,33.50272222,23.89827778,21.52066667,15.30244444,0.279711111,81.76406006,2.928903693,321.0587345,107.9607941,437.7045215,0.003293118,0.777469965,0.673153828,0.48934988,0.658949965,0.440904608,-0.078107458,0.655803268,0.109372447,0.662015966,0.180309615,0.659400078,193,1.19,0.513513514,71,0,0.417628368
CPS2-ASU-T102-Warmup-511.384,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PD,CPS2-ASU-T102-PB,CPS2-ASU-T102-PC,Warmup,Double Hoppy,511.384,781.7263,712,771,270.3423,0,0,0,0.280236244,0.041587895,0.196725386,-0.120732751,0.094069237,16.67027778,13.6205,13.56922222,7.8515,0.159766667,81.67878215,2.78920001,320.323288,104.0995335,437.7045215,0.006070708,0.651601358,0.685716774,0.60060524,0.660095346,0.623267987,-0.059016612,0.678208639,0.120910244,0.675268249,0.08495229,0.687656891,148,1.923571429,0.423076923,201,0,0.452273577
CPS2-ASU-T102-Warmup-6.9431,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PD,CPS2-ASU-T102-PB,CPS2-ASU-T102-PC,Warmup,Can Opener,6.9431,278.3849,209,268,271.4418,0,1,1,0.192857678,-0.20396633,0.06814051,0.131571778,0.28469942,21.77455556,18.61083333,18.34422222,11.64855556,0.318433333,74.80862615,2.781774936,361.2735426,92.7426044,437.7045215,0.002178959,0.595358619,0.738728164,0.361163785,0.628985769,0.738611867,-0.120005287,0.782135541,0.036968906,0.773866945,0.09693805,0.787411842,166,1.468333333,0.424242424,203,0,0.251085071
CPS2-ASU-T102-Warmup-781.7263,ASU,CPS2-ASU-T102,CPS2-ASU-T102-PD,CPS2-ASU-T102-PB,CPS2-ASU-T102-PC,Warmup,Annoying Lever,781.7263,900.034,840,899,118.3077,0,0,0,-0.494396946,-0.057266076,-0.294264191,0.316087113,-0.216807203,19.90055556,16.62616667,17.21633333,11.17972222,0.492240423,117.7615619,2.995416448,299.6115973,149.6111734,437.7045215,0.033925954,0.962977242,1.105549252,0.787288419,0.964622298,0.506304139,-0.341824378,1.091566772,-0.260565314,1.099702137,-0.075406247,1.090333323,175,2.241818182,0.47826087,59,0,0.39032952
CPS2-ASU-T103-ExpBlock1-13.0482,ASU,CPS2-ASU-T103,CPS2-ASU-T103-PB,CPS2-ASU-T103-PD,CPS2-ASU-T103-PC,ExpBlock1,Top spin,13.0482,900.004,840,899,886.9558,0,0,0,0.535702745,0.027185418,0.100937598,-0.577119881,-0.588361346,8.183888889,7.494444444,3.261333333,3.578722222,0.795691772,107.5071001,2.493482002,426.1399399,151.7614841,402.2026405,0.003249404,0.90975862,0.867673702,0.588719382,0.782914216,0.81920487,-0.857695475,0.939404466,-0.62652455,0.942479735,-0.074382708,0.926616861,62,3.707,0.352941176,827,0,0.396802451
CPS2-ASU-T103-ExpBlock2-562.8805,ASU,CPS2-ASU-T103,CPS2-ASU-T103-PC,CPS2-ASU-T103-PD,CPS2-ASU-T103-PB,ExpBlock2,Fe2,562.8805,899.997,840,899,337.1165,0,0,0,0.690960676,0.130063374,-0.329436729,0.512525059,0.985744922,15.09627778,11.93333333,5.077333333,7.760388889,0.75192972,187.541726,3.191744563,291.7910147,211.3986466,405.5204282,0.013538668,0.710681003,0.761652544,0.427709312,0.625182274,0.737463434,-0.741440917,0.750387954,-0.26814383,0.74261204,-0.125982327,0.748488282,102,3.07625,0.25,278,0,0.372313137
CPS2-ASU-T103-ExpBlock2-67.1433,ASU,CPS2-ASU-T103,CPS2-ASU-T103-PC,CPS2-ASU-T103-PD,CPS2-ASU-T103-PB,ExpBlock2,Timing is Everything,67.1433,559.3733,490,549,492.23,0,1,1,-0.252551974,-0.262288835,0.274351039,-0.040880058,-0.217863348,6.635944444,5.3,5.341888889,3.418444444,0.767566667,110.3000535,3.147571164,302.6213849,140.4373671,284.9941927,0.005370539,2.194332838,2.778091987,2.075847443,2.055157105,2.455475753,-0.942511755,2.682628333,-0.942849335,2.703662379,0.44263913,2.573342351,62,4.42375,0.307692308,423,0,0.642732669
CPS2-ASU-T103-Warmup-133.859,ASU,CPS2-ASU-T103,CPS2-ASU-T103-PD,CPS2-ASU-T103-PB,CPS2-ASU-T103-PC,Warmup,Spider Web,133.859,286.0747,217,276,152.2157,0,1,1,0.16766582,-0.044004871,-0.36308393,0.533393707,0.528706564,1.058,1.388888889,0.027777778,0.985055556,0.839133333,74.16024254,2.440773927,420.0979972,85.52865165,209.4622089,0.00242852,0.635438994,1.260903319,0.282316525,0.922547679,1.253266631,-0.320060108,1.111507302,-0.329580441,1.112850229,-0.059959317,1.125505154,6,28.43,0,84,0,0.316622543
