ParticipantBlock,pid,Analyze,GROUPID_block,GROUPID,schoolID,teamID,School,Team,Block,TeamBlock,Role,FullPath_gaze,FullPath_fixations,FullPath_partners-M,FullPath_partners-C,FullPath_PP-C,FullPath_PP-M,FullPath_225ms-time-series-RAW,225ms-time-series-RAW,FullPath_225ms-time-series-FIXATIONS,225ms-time-series-FIXATIONS
CPS2-ASU-T47-PA-ExpBlock1,CPS2-ASU-T47-PA,yes,1047ExpBlock1,1047,10,47,ASU,T47,ExpBlock1,T47ExpBlock1,PA,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T47-PA-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T47-PA-ExpBlock1-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T47-ExpBlock1-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T47-ExpBlock1-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T47-ExpBlock1-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T47-ExpBlock1-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1047-ExpBlock1-CPS2-ASU-T47-PA-225ms-RAW.csv,1047-ExpBlock1-CPS2-ASU-T47-PA-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1047-ExpBlock1-CPS2-ASU-T47-PA-225ms-FIXATIONS.csv,1047-ExpBlock1-CPS2-ASU-T47-PA-225ms-FIXATIONS.csv
CPS2-CU-T68-PC-Transfer,CPS2-CU-T68-PC,yes,2068Transfer,2068,20,68,CU,T68,Transfer,T68Transfer,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T68-PC-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T68-PC-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T68-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T68-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2068-Transfer-CPS2-CU-T68-PC-225ms-RAW.csv,2068-Transfer-CPS2-CU-T68-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2068-Transfer-CPS2-CU-T68-PC-225ms-FIXATIONS.csv,2068-Transfer-CPS2-CU-T68-PC-225ms-FIXATIONS.csv
CPS2-ASU-T58-PC-ExpBlock2,CPS2-ASU-T58-PC,yes,1058ExpBlock2,1058,10,58,ASU,T58,ExpBlock2,T58ExpBlock2,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T58-PC-ExpBlock2-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T58-PC-ExpBlock2-fixations.csv,,,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1058-ExpBlock2-CPS2-ASU-T58-PC-225ms-RAW.csv,1058-ExpBlock2-CPS2-ASU-T58-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1058-ExpBlock2-CPS2-ASU-T58-PC-225ms-FIXATIONS.csv,1058-ExpBlock2-CPS2-ASU-T58-PC-225ms-FIXATIONS.csv
CPS2-ASU-T52-PB-Transfer,CPS2-ASU-T52-PB,yes,1052Transfer,1052,10,52,ASU,T52,Transfer,T52Transfer,PB,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T52-PB-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T52-PB-Transfer-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T52-Transfer-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T52-Transfer-screen-partners-C.txt,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1052-Transfer-CPS2-ASU-T52-PB-225ms-RAW.csv,1052-Transfer-CPS2-ASU-T52-PB-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1052-Transfer-CPS2-ASU-T52-PB-225ms-FIXATIONS.csv,1052-Transfer-CPS2-ASU-T52-PB-225ms-FIXATIONS.csv
CPS2-CU-T27-PC-Warmup,CPS2-CU-T27-PC,yes,2027Warmup,2027,20,27,CU,T27,Warmup,T27Warmup,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T27-PC-Warmup-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T27-PC-Warmup-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T27-Warmup-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T27-Warmup-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T27-Warmup-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-CU-T27-Warmup-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2027-Warmup-CPS2-CU-T27-PC-225ms-RAW.csv,2027-Warmup-CPS2-CU-T27-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2027-Warmup-CPS2-CU-T27-PC-225ms-FIXATIONS.csv,2027-Warmup-CPS2-CU-T27-PC-225ms-FIXATIONS.csv
CPS2-ASU-T90-PD-ExpBlock2,CPS2-ASU-T90-PD,yes,1090ExpBlock2,1090,10,90,ASU,T90,ExpBlock2,T90ExpBlock2,PD,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T90-PD-ExpBlock2-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T90-PD-ExpBlock2-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T90-ExpBlock2-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T90-ExpBlock2-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T90-ExpBlock2-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T90-ExpBlock2-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1090-ExpBlock2-CPS2-ASU-T90-PD-225ms-RAW.csv,1090-ExpBlock2-CPS2-ASU-T90-PD-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1090-ExpBlock2-CPS2-ASU-T90-PD-225ms-FIXATIONS.csv,1090-ExpBlock2-CPS2-ASU-T90-PD-225ms-FIXATIONS.csv
CPS2-ASU-T92-PB-Transfer,CPS2-ASU-T92-PB,yes,1092Transfer,1092,10,92,ASU,T92,Transfer,T92Transfer,PB,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T92-PB-Transfer-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T92-PB-Transfer-fixations.csv,,,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1092-Transfer-CPS2-ASU-T92-PB-225ms-RAW.csv,1092-Transfer-CPS2-ASU-T92-PB-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1092-Transfer-CPS2-ASU-T92-PB-225ms-FIXATIONS.csv,1092-Transfer-CPS2-ASU-T92-PB-225ms-FIXATIONS.csv
CPS2-ASU-T41-PC-Warmup,CPS2-ASU-T41-PC,yes,1041Warmup,1041,10,41,ASU,T41,Warmup,T41Warmup,PC,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T41-PC-Warmup-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T41-PC-Warmup-fixations.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T41-Warmup-screen-partners-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T41-Warmup-screen-partners-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T41-Warmup-screen-PP-C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/AOI Motion/CPS2-ASU-T41-Warmup-screen-PP-M.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1041-Warmup-CPS2-ASU-T41-PC-225ms-RAW.csv,1041-Warmup-CPS2-ASU-T41-PC-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1041-Warmup-CPS2-ASU-T41-PC-225ms-FIXATIONS.csv,1041-Warmup-CPS2-ASU-T41-PC-225ms-FIXATIONS.csv
CPS2-ASU-T49-PB-Warmup,CPS2-ASU-T49-PB,yes,1049Warmup,1049,10,49,ASU,T49,Warmup,T49Warmup,PB,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-ASU-T49-PB-Warmup-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-ASU-T49-PB-Warmup-fixations.csv,,,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1049-Warmup-CPS2-ASU-T49-PB-225ms-RAW.csv,1049-Warmup-CPS2-ASU-T49-PB-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/1049-Warmup-CPS2-ASU-T49-PB-225ms-FIXATIONS.csv,1049-Warmup-CPS2-ASU-T49-PB-225ms-FIXATIONS.csv
CPS2-CU-T51-PB-ExpBlock1,CPS2-CU-T51-PB,yes,2051ExpBlock1,2051,20,51,CU,T51,ExpBlock1,T51ExpBlock1,PB,/Users/angelina/Dropbox (Emotive Computing)/CPS2/Processed Output/Gaze Raw/CPS2-CU-T51-PB-ExpBlock1-gazeLog4C.txt,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/Fixation Files/CPS2-CU-T51-PB-ExpBlock1-fixations.csv,,,,,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2051-ExpBlock1-CPS2-CU-T51-PB-225ms-RAW.csv,2051-ExpBlock1-CPS2-CU-T51-PB-225ms-RAW.csv,/Users/angelina/Dropbox (Emotive Computing)/CPS_Gaze_Fixations/RQA/Participant_Block_225ms_Time_Series/2051-ExpBlock1-CPS2-CU-T51-PB-225ms-FIXATIONS.csv,2051-ExpBlock1-CPS2-CU-T51-PB-225ms-FIXATIONS.csv
