"GROUPID","block","REC","DET","ADL","MDL","DENTR","LAM","AVL","MVL","VENTR"
"1010","ExpBlock1","0.111890472618155","46.7650016761649","2.58014796547472","12","8.03147940686938","63.4761165403233","3.20276497695853","8","8.27689913860503"
"1010","ExpBlock2","0.221817954488622","51.9418296601093","2.80176345393736","13","8.69310965950838","71.4376171419888","3.56754363774349","14","8.80158281838314"
"10100","ExpBlock1","0.469004751187797","68.6038761963158","3.23657401584707","27","9.50208033269658","83.3767811495533","4.48082154515789","28","9.31548392490746"
"10100","ExpBlock2","0.32863215803951","63.3198904276366","3.37380904115145","34","8.99586311376545","78.3906095318908","4.33682151589237","35","8.89975488546055"
"10102","ExpBlock1","0.275806451612903","40.0108799129607","2.7815947053262","16","8.65081890784907","60.6031007107527","3.35106871983451","15","8.89580981042499"
"10102","ExpBlock2","0.757776944236059","50.2120217136634","2.90659025787966","18","9.83755728170676","71.5063810755986","3.98788526634598","19","9.79239389768514"
"10102","Warmup","4.30372593148287","83.5543211741601","4.64229335141174","64","11.3853814017631","92.2021767009809","7.41403537294903","64","10.7827547466889"
"10103","ExpBlock1","0.296199049762441","54.8670325031659","2.92484248424843","19","8.98132774543652","73.9451148306734","3.85402718604181","20","8.97887205773618"
"10103","ExpBlock2","0.027344336084021","31.2299954275263","2.42198581560284","6","6.29049886298649","44.6381657511345","2.70869565217391","7","7.15561326045311"
"10103","Warmup","0.149662415603901","53.5588972431078","2.95301704283739","13","8.2680997253745","70.1539012168933","3.6210973582117","14","8.41354529672485"
"10104","ExpBlock1","0.30657664416104","53.731647634584","3.06252905625292","30","8.89467017814927","73.1806184012066","3.99290196481844","31","8.89339730286003"
"10104","ExpBlock2","0.07551887971993","46.8046357615894","2.7688540646425","15","7.52516724713886","62.5995024875622","3.19860184302509","16","7.89820378965166"
"10104","Warmup","0.592898224556139","57.1109236609026","2.82192351776596","22","9.74875553096725","77.6831242411979","3.77585443816078","23","9.67803715425499"
"1020","ExpBlock1","0.262440610152538","50.1858027632206","2.67089249492902","12","8.89460219008808","71.5267507612005","3.38179948586119","13","9.03983068514617"
"1020","ExpBlock2","0.0803325831457865","47.3774319066148","2.85553470919324","15","7.54915272435539","61.7032640949555","3.36799481697442","16","7.85003311949609"
"1020","Warmup","0.245811452863216","51.1851475076297","2.70220193340494","11","8.83594175868506","71.3180978762696","3.47877491273502","11","8.95055906762305"
"1024","ExpBlock1","0.117466866716679","51.3358169238957","2.80406976744186","13","8.05701879193417","68.9030276437034","3.38572660629582","14","8.29568982488961"
"1024","ExpBlock2","0.244561140285071","64.478527607362","2.87813783660428","16","8.98188949185142","79.3668831168831","3.80509228374472","17","8.9321936645145"
"1024","Warmup","0.0426356589147287","33.9296187683284","2.504329004329","9","6.76480264403643","51.5896487985213","2.78265204386839","10","7.50996614805987"
"1025","ExpBlock1","0.0932108027006752","42.7766599597586","2.67983193277311","10","7.68358702781587","59.6879957694342","3.25461361014995","10","7.9928905269664"
"1025","ExpBlock2","0.185846461615404","43.1041442411195","2.53642121931907","13","8.45051319629465","65.9333491461101","3.10110165946172","14","8.7313015122461"
"1025","Warmup","0.109277319329832","43.9588100686499","2.60828241683639","11","7.91555606028547","61.6294227188082","3.15716670641545","12","8.21308634109502"
"1032","ExpBlock1","0.063503375843961","33.5105335696003","2.81788079470199","12","6.9849568052312","47.6974148891086","3.06536541080345","13","7.55591991814083"
"1032","ExpBlock2","0.22863215803951","55.8077217543476","2.83787541713015","13","8.79612842594335","72.1827861579414","3.63620561211823","14","8.83161338392544"
