"GROUPID","block","REC","DET","ADL","MDL","DENTR","LAM","AVL","MVL","VENTR"
"1010","ExpBlock1","0.918592148037009","45.0829601600675","2.5353643600735","12","10.1103997455957","70.6535133631027","3.29796511627907","42","10.2128203802863"
"1010","ExpBlock2","0.750287571892973","53.302892947607","2.68203924199231","18","9.98651658465294","77.0497355179977","3.5025842161211","37","10.0157480168573"
"10100","ExpBlock1","4.00766441610403","64.8535408210699","2.9988026543567","28","11.7204283413086","83.44138429246","4.2651389086992","35","11.4975392773949"
"10100","ExpBlock2","1.97435608902226","55.1577174195264","3.02637248088945","35","10.7997379189598","76.381879694076","4.20525047340305","43","10.6644073097946"
"10102","ExpBlock1","1.99392348087022","46.949973036357","2.71200376702405","21","10.8159401494133","70.9953305176065","3.44550973791779","51","10.9066976239238"
"10102","ExpBlock2","3.2088272068017","57.2127710974821","2.81303523190985","31","11.4370945512146","79.4501666396022","3.7908315270027","35","11.3437535090075"
"10102","Warmup","3.50873968492123","70.1933869984927","3.37241910631736","48","11.488564443317","86.1580021866121","4.99748594179726","51","11.1403837623298"
"10103","ExpBlock1","3.23455863965992","61.0301507537688","2.77122496621197","19","11.5499190139723","81.8335251246644","3.89580270810696","51","11.3549374746712"
"10103","ExpBlock2","0.615503875968992","39.1159502722028","2.45393143876641","10","9.60689105429873","67.1224720855782","3.06165969192414","26","9.87837420973634"
"10103","Warmup","1.59566141535384","56.3151832378684","2.68191656093745","25","10.8038458753188","79.3578972543029","3.58238141673052","54","10.7414635332433"
"10104","ExpBlock1","1.48527131782946","58.1604821873527","2.93662600416532","36","10.6014496764678","80.1489337042188","3.97346603734861","42","10.4809306227004"
"10104","ExpBlock2","1.32781945486372","50.3611145114361","2.59992222060178","18","10.5470668857461","76.0801855839703","3.36115307664042","77","10.6228659058823"
"10104","Warmup","2.97528132033008","62.4979513621866","2.84439429292734","22","11.4534786953001","83.0759325395999","4.02506688203514","33","11.2571642409284"
"1020","ExpBlock1","1.3611152788197","55.123918355349","2.82901188006794","40","10.5311331196036","78.2784001731883","3.74354549964414","58","10.5125711571234"
"1020","ExpBlock2","0.378294573643411","42.2957429931253","2.58420840064622","13","9.1085879350281","69.2661830357143","3.15349329569512","31","9.39190292422372"
"1020","Warmup","0.662128032008002","58.0640897331797","2.81378111273792","18","9.89971100486609","79.5303600997143","3.66827528325642","52","9.89210121980365"
"1024","ExpBlock1","2.15496374093523","55.826960790002","2.67322331499698","17","11.1007375804593","79.6904573454007","3.51711175800533","33","11.0894237651504"
"1024","ExpBlock2","1.05721430357589","64.5926959648044","3.11545262677539","30","10.3344591746377","82.2380886362586","4.18287057440867","49","10.177384804219"
"1024","Warmup","1.0444736184046","45.9975819098124","2.50635966342706","16","10.2597166864159","72.996481054982","3.20208210466931","26","10.4009834923803"
